"","V1","V2","V3"
"1",-0.0299985300625575,-0.0174143680713829,-0.0124263293610067
"2",0.0013357214230676,0.000763717461764381,0.000566142036454098
"3",-0.0302678039064875,-0.0171129993183891,-0.0121505125538252
"4",-0.0508583628936251,-0.0282074889260501,-0.0200410094300827
"5",0.00195439785261542,0.0010863205509661,0.000780982775376209
"6",-0.0481765705620044,-0.0282793977268914,-0.0196360385120531
"7",-0.0495412096390739,-0.0318010626569644,-0.0241150921195808
"8",0.00310063444920636,0.00166159195984129,0.0011477664437935
"9",-0.0496805457297696,-0.0323047537609034,-0.0237931959166379
"10",-0.0547419100603919,-0.0336479711640433,-0.0248726565707655
"11",0.00251373000932221,0.00136359898900005,0.000916847491713549
"12",-0.0550461657790605,-0.0332036794995257,-0.0246651029355748
"13",-0.0316934593390975,-0.0167493150891868,-0.0122112147247417
"14",0.00169794656194806,0.000984109944986315,0.000657500937815692
"15",-0.0318968237054379,-0.0164220400838356,-0.0116362706506645
"16",-0.052702408204005,-0.0337532350974754,-0.0255609967330395
"17",0.00337860398441732,0.0019526100402523,0.00133993765117275
"18",-0.0529594670513968,-0.0333994766875684,-0.0256279157958073
"19",-0.0314184131329871,-0.0171521389449035,-0.0119292958153206
"20",0.00138016755003381,0.000763784053690263,0.000555337227696046
"21",-0.0305388771359976,-0.0160932134711876,-0.0116504486040909
