"","g11","g21","h1"
"1",0.0435965377360571,-0.00112927631508201,0.044725814051139
"2",0.0264286285403321,0.00223117915730828,0.0259895093557478
"3",-0.0431232844082067,-0.000990504458206902,-0.0421327799499998
"4",0.0350106570595111,0.00425491402113579,0.0356958499530243
"5",-0.0528741746432985,0.00196527387447907,-0.0548394485177775
"6",0.034463285600435,0.00493603188565706,0.0350471586529931
"7",-0.0501756675979333,-7.36076800887975e-05,-0.0501020599178446
"8",0.033404681111061,0.00424188772049815,0.0342665923401899
"9",-0.0226252199503246,0.00634289423516763,-0.0289681141854922
"10",0.016797792824936,0.00255754761619131,0.0167038204586369
"11",-0.0625656613117263,0.00436278814630177,-0.0669284494580281
"12",0.0451400732653316,0.00459844515044777,0.044649728140882
"13",-0.0232533855335107,0.000526089210748681,-0.0237794747442593
"14",0.0266926885685122,0.0028627795009621,0.026932291079209
